_id,waktu,temperature,sun_radiation,Relative_humidity,wind_direction,wind_speed,pressure,rain_rate
59,2017-09-03 12:00,27,0.283333333,39.28333333,68.54166667,0,1009.766667,0
60,2017-09-03 14:00,27.26666667,0.258333333,39.44166667,183.15,0,1007.316667,0
61,2017-09-03 16:00,26.825,0.166666667,39.83333333,183.3333333,0,1006.375,0
62,2017-09-03 18:00,28.38333333,0.716666667,44.38333333,183.3416667,0,1007.158333,0
63,2017-09-03 20:00,30.16666667,0.341666667,51.90833333,183.325,0,1008.7,0
64,2017-09-03 22:00,30.425,0.208333333,55.14166667,183.3083333,0,1009.7,0
65,2017-09-04 00:00,30.36666667,0.2,57.03333333,183.3166667,0,1009.766667,0
66,2017-09-04 02:00,30.275,0.2,58.325,183.35,0,1008.825,0
67,2017-09-04 04:00,30.175,0.191666667,58.90833333,183.325,0,1008.275,0
68,2017-09-04 06:00,30.025,0.2,59.375,183.3666667,0,1009.008333,0
69,2017-09-04 08:00,30.33333333,0.283333333,59.50833333,183.4916667,0,1010.166667,0
70,2017-09-04 10:00,29.6,0.225,47.43333333,188.2916667,0.133333333,1010.166667,0.433333333
71,2017-09-04 12:00,27,0.183333333,39.55,193.4666667,0.108333333,1007.833333,0
72,2017-09-04 14:00,26.10833333,38.05,43.8,177.9,0.941666667,1005.283333,0
73,2017-09-04 16:00,28.975,262.6666667,66.60833333,103.4583333,4.333333333,998.6333333,0
74,2017-09-04 18:00,29.45833333,381.675,72.40833333,191.3166667,4.25,998.8833333,0
75,2017-09-04 20:00,30.35,298.1833333,65.975,155,4.716666667,996.325,0
76,2017-09-04 22:00,30.13333333,162.1,59.79166667,116.4666667,4.633333333,996.4916667,0
77,2017-09-05 00:00,27.09166667,0.841666667,76.95,103.8666667,2.116666667,997.7583333,0.916666667
78,2017-09-05 02:00,25.225,1.2,86.075,166.8083333,2.191666667,999.1833333,2.6
79,2017-09-05 04:00,24.81666667,1.541666667,88.91666667,178.3083333,2.575,999.5916667,2.6
80,2017-09-05 06:00,24.68333333,1.025,92.28333333,184.9,1.925,998.8166667,2.6
81,2017-09-05 08:00,23.96666667,0.683333333,95.475,196.55,2.275,997.5666667,2.6
82,2017-09-05 10:00,23.775,0.675,95.75,209.675,1.808333333,997.0916667,2.6
83,2017-09-05 12:00,29.05,398.25,73.11666667,169.675,4,999.7,0
84,2017-09-05 14:00,30.04166667,320.4333333,69.36666667,180.6583333,4.625,996.925,0
85,2017-09-05 16:00,30.43333333,215.825,60.225,117.9666667,4.791666667,996.225,0
86,2017-09-05 18:00,28.175,16.28333333,70.1,107.1,3.025,997.275,0.583333333
87,2017-09-05 20:00,25.65,0.908333333,84.40833333,144.7833333,1.875,998.7916667,2.066666667
88,2017-09-05 22:00,24.90833333,1.591666667,87.83333333,178.7,2.591666667,999.6083333,2.6
89,2017-09-07 00:00,24.70833333,1.141666667,91.48333333,180.0666667,2.166666667,999.1416667,2.6
90,2017-09-07 02:00,24.25833333,0.758333333,94.275,191.2,2.15,997.9833333,2.6
91,2017-09-07 04:00,23.79166667,0.675,95.95,207.7666667,2.075,997.0583333,2.6
92,2017-09-07 06:00,24.15833333,41.95,93.45833333,226.1333333,1.741666667,997.5416667,2.6
93,2017-09-07 08:00,28.05833333,487.0166667,77.8,109.3416667,2.325,998.7583333,0
94,2017-09-07 10:00,30.25,744.2083333,65.99166667,60.34166667,3.841666667,998.9833333,0
95,2017-09-07 12:00,27.76666667,434.9416667,79.10833333,122.8416667,2.1,998.6916667,0.216666667
96,2017-09-07 14:00,30.10833333,742.9666667,66.71666667,62.48333333,3.858333333,999.0083333,0
97,2017-09-07 16:00,31.65833333,796.3,59.90833333,44.46666667,3.641666667,997.8416667,0
98,2017-09-07 18:00,33.275,759.0583333,49.14166667,71.76666667,4.266666667,996.2166667,0
99,2017-09-07 20:00,32.95,447.0333333,49.025,76.30833333,4.591666667,995.5666667,0
100,2017-09-07 22:00,29.99166667,26.93333333,59.5,109.45,3.125,996.4,0
101,2017-09-08 00:00,27.65833333,0.783333333,84.69166667,190.35,4.033333333,997.8,0
102,2017-09-08 02:00,26.73333333,0.591666667,86.70833333,180.4666667,5.525,998.6833333,0
103,2017-09-08 04:00,26.225,0.741666667,87.575,186.3,5.841666667,998.85,0
104,2017-09-08 06:00,26.18333333,0.625,86.46666667,187.8583333,6.8,998.45,0
105,2017-09-08 08:00,26.08333333,0.725,85.26666667,191.7333333,6.441666667,998.2583333,0
106,2017-09-08 10:00,25.90833333,25.14166667,85.725,199.0083333,5.275,998.725,0
107,2017-09-08 12:00,27.6,370.9166667,78.54166667,196.0333333,6.366666667,999.8,0
108,2017-09-08 14:00,29.46666667,847.2333333,67.69166667,191.0333333,7.2,1000.083333,0
109,2017-09-08 16:00,30.45833333,993.8416667,62.15833333,188.6166667,7.15,998.8,0
110,2017-09-08 18:00,30.775,792.3666667,58.625,181.5,7.691666667,997.275,0
111,2017-09-08 20:00,29.65,329.7333333,63.31666667,182.8916667,7.108333333,996.7166667,0
112,2017-09-08 22:00,28.00833333,25.275,70.23333333,196.1666667,6.033333333,997.3083333,0
113,2017-09-09 00:00,26.9,0.608333333,77.44166667,200.65,5.425,998.925,0
114,2017-09-09 02:00,26.35,0.616666667,81.2,201.6333333,6,999.7583333,0
