id_wind_d,nilai_wind_d
WD399,43.6
WD400,43.6
WD401,43.6
WD402,43.6
WD403,43.6
WD404,43.6
WD405,43.6
WD406,43.5
WD407,43.6
WD408,43.6
WD409,43.5
WD410,43.5
WD411,43.6
WD412,43.6
WD413,43.5
WD414,43.5
WD415,43.5
WD416,43.5
WD417,43.5
WD418,43.5
WD419,43.5
WD420,43.5
WD421,43.5
WD422,43.5
WD423,43.5
WD424,43.5
WD425,43.5
WD426,43.6
WD427,43.5
WD428,43.5
WD429,43.5
WD430,43.5
WD431,43.5
WD432,43.5
WD433,43.5
WD434,43.5
WD435,43.5
WD436,43.6
WD437,43.5
WD438,43.5
WD439,43.5
WD440,43.5
WD441,43.5
WD442,43.5
WD443,43.5
WD444,43.5
WD445,43.5
WD446,43.5
WD447,43.5
WD448,43.5
WD449,43.5
WD450,43.5
WD451,43.5
WD452,43.5
WD453,43.5
WD454,43.5
WD455,43.5
WD456,43.5
WD457,43.5
WD458,43.5
WD459,43.5
WD460,43.5
WD461,43.5
WD462,43.5
WD463,43.5
WD464,43.5
WD465,43.5
WD466,43.5
WD467,43.5
WD468,43.5
WD469,43.5
WD470,43.5
WD471,43.5
WD472,43.5
WD473,43.5
WD474,43.5
WD475,43.5
WD476,43.5
WD477,43.5
WD478,43.5
WD479,43.5
WD480,43.5
WD481,43.5
WD482,43.5
WD483,43.5
WD484,43.5
WD485,43.5
WD486,43.5
WD487,43.5
WD488,43.5
WD489,43.5
WD490,43.5
WD491,43.5
WD492,43.5
WD493,43.5
WD494,43.5
WD495,43.5
WD496,43.5
WD497,43.5
WD498,43.5
WD499,43.5
WD500,43.5
WD501,43.5
WD502,43.5
WD503,43.5
WD504,43.5
WD505,43.5
WD506,43.5
WD507,43.5
WD508,43.5
WD509,43.5
WD510,43.5
WD511,43.5
WD512,43.5
WD513,43.5
WD514,43.5
WD515,43.5
WD516,43.5
WD517,43.5
WD518,43.5
WD519,43.5
WD520,43.5
WD521,104.9
WD522,163
WD523,163.1
WD524,163.1
WD525,181.3
WD526,183
WD527,183
WD528,183
WD529,183
WD530,183
WD531,183
WD532,183
WD533,182.9
WD534,183
WD535,183
WD536,183.3
WD537,183.4
WD538,183.3
WD539,183.3
WD540,183.3
WD541,183.3
WD542,183.3
WD543,183.4
WD544,183.4
WD545,183.4
WD546,183.3
WD547,183.3
WD548,183.3
WD549,183.3
WD550,183.4
WD551,183.3
WD552,183.3
WD553,183.3
WD554,183.4
WD555,183.3
WD556,183.4
WD557,183.3
WD558,183.4
WD559,183.3
WD560,183.4
WD561,183.3
WD562,183.3
WD563,183.3
WD564,183.4
WD565,183.3
WD566,183.3
WD567,183.4
WD568,183.3
WD569,183.3
WD570,183.3
WD571,183.3
WD572,183.3
WD573,183.4
WD574,183.3
WD575,183.4
WD576,183.3
WD577,183.3
WD578,183.3
WD579,183.3
WD580,183.3
WD581,183.3
WD582,183.3
WD583,183.3
WD584,183.3
WD585,183.3
WD586,183.3
WD587,183.4
WD588,183.3
WD589,183.3
WD590,183.3
WD591,183.3
WD592,183.3
WD593,183.3
WD594,183.3
WD595,183.4
WD596,183.4
WD597,183.3
WD598,183.3
WD599,183.3
WD600,183.3
WD601,183.3
WD602,183.3
WD603,183.4
WD604,183.3
WD605,183.4
WD606,183.3
WD607,183.4
WD608,183.3
WD609,183.3
WD610,183.3
WD611,183.4
WD612,183.4
WD613,183.4
WD614,183.3
WD615,183.3
WD616,183.3
WD617,183.4
WD618,183.4
WD619,183.3
WD620,183.3
WD621,183.3
WD622,183.3
WD623,183.3
WD624,183.4
WD625,183.3
WD626,183.3
WD627,183.4
WD628,183.4
WD629,183.4
WD630,183.3
WD631,183.4
WD632,183.4
WD633,183.4
WD634,183.4
WD635,183.3
WD636,183.3
WD637,183.4
WD638,183.4
WD639,183.4
WD640,183.3
WD641,183.4
WD642,183.4
WD643,183.4
WD644,183.4
WD645,183.3
WD646,183.6
WD647,183.8
WD648,183.7
WD649,183.8
WD650,183.8
WD651,183.8
WD652,183.8
WD653,186.1
WD654,188.3
WD655,188.5
WD656,189.7
WD657,190.1
WD658,190.7
WD659,191.5
WD660,191.5
WD661,191.7
WD662,191.8
WD663,192
WD664,192.4
WD665,192.6
WD666,192.6
WD667,192.6
WD668,192.6
WD669,193
WD670,192.2
WD671,192.2
WD672,192.2
WD673,192.2
WD674,192.2
WD675,192.5
WD676,192.6
WD677,192.2
WD678,198.8
WD679,198.9
WD680,198.9
WD681,198.9
WD682,198.9
WD683,198.9
WD684,198.9
WD685,198.9
WD686,198.9
WD687,198.9
WD688,198.9
WD689,198.9
WD690,96.2
WD691,82.4
WD692,94.1
WD693,90
WD694,96
WD695,87.5
WD696,93.3
WD697,95.4
WD698,50.4
WD699,79.8
WD700,83.8
WD701,70
WD702,69.7
WD703,84
WD704,85.6
WD705,87.5
WD706,90
WD707,84.6
WD708,92.7
WD709,156.5
WD710,117.4
WD711,133
WD712,146.6
WD713,122.5
WD714,156.6
WD715,200.6
WD716,206.4
WD717,198.6
WD718,199.6
WD719,208.7
WD720,189.6
WD721,211.4
WD722,197.2
WD723,205.2
WD724,199.4
WD725,199.8
WD726,193.4
WD727,166.8
WD728,177.4
WD729,184.3
WD730,158.9
WD731,137.8
WD732,136.3
WD733,131
WD734,130.7
WD735,124.5
WD736,119.1
WD737,114.5
WD738,121.2
